Year|Sex|Category|Name|Birthdate|BirthPlace|County|BirthPlaceNow
1929|M|peace|Frank Billings Kellogg|22 December 1856|Potsdam NY|USA|Potsdam NY, USA
1929|M|physics|Prince Louis-Victor Pierre Raymond de Broglie|15 August 1892|Dieppe|France|Dieppe, France
1930|M|chemistry|Hans Fischer|27 July 1881|Hoechst|Germany|Hoechst, Germany
1930|M|literature|Sinclair Lewis|7 February 1885|Sauk Centre MN|USA|Sauk Centre MN, USA
1930|M|medicine|Karl Landsteiner|14 June 1868|Vienna|Austrian Empire|Vienna, Austria
1930|M|peace|Lars Olof Jonathan (Nathan) Söderblom|15 January 1866|Trönö|Sweden|Trönö, Sweden
1930|M|physics|Sir Chandrasekhara Venkata Raman|7 November 1888|Trichinopoly|India|Trichinopoly, India
1931|M|chemistry|Carl Bosch|27 August 1874|Cologne|Germany|Cologne, Germany
1931|M|chemistry|Friedrich Bergius|11 October 1884|Goldschmieden near Breslau|Germany|Złotniki, Poland
1931|M|literature|Erik Axel Karlfeldt|20 July 1864|Karlbo|Sweden|Karlbo, Sweden
1931|M|medicine|Otto Heinrich Warburg|8 October 1883|Freiburg im Breisgau|Germany|Freiburg im Breisgau, Germany
1931|F|peace|Jane Addams|6 September 1860|Cedarville IL|USA|Cedarville IL, USA
1931|M|peace|Nicholas Murray Butler|2 April 1862|Elizabeth NJ|USA|Elizabeth NJ, USA
1932|M|chemistry|Irving Langmuir|31 January 1881|Brooklyn NY|USA|Brooklyn NY, USA
1932|M|literature|John Galsworthy|14 August 1867|Kingston Hill|United Kingdom|Kingston Hill, United Kingdom
1932|M|medicine|Edgar Douglas Adrian|30 November 1889|London|United Kingdom|London, United Kingdom
1932|M|medicine|Sir Charles Scott Sherrington|27 November 1857|London|United Kingdom|London, United Kingdom
1932|M|physics|Werner Karl Heisenberg|5-Dec-01|Würzburg|Germany|Würzburg, Germany
1933|M|literature|Ivan Alekseyevich Bunin|22 October 1870|Voronezh|Russia|Voronezh, Russia
1933|M|medicine|Thomas Hunt Morgan|25 September 1866|Lexington KY|USA|Lexington KY, USA
1933|M|peace|Sir Norman Angell (Ralph Lane)|26 December 1873|Holbeach|United Kingdom|Holbeach, United Kingdom
1933|M|physics|Erwin Schrödinger|12 August 1887|Vienna|Austria|Vienna, Austria
1933|M|physics|Paul Adrien Maurice Dirac|8-Aug-02|Bristol|United Kingdom|Bristol, United Kingdom
1934|M|chemistry|Harold Clayton Urey|29 April 1893|Walkerton IN|USA|Walkerton IN, USA
1934|M|literature|Luigi Pirandello|28 June 1867|Agrigento Sicily|Italy|Agrigento Sicily, Italy
1934|M|medicine|George Hoyt Whipple|28 August 1878|Ashland NH|USA|Ashland NH, USA
1934|M|medicine|George Richards Minot|2 December 1885|Boston MA|USA|Boston MA, USA
1934|M|medicine|William Parry Murphy|6 February 1892|Stoughton WI|USA|Stoughton WI, USA
1934|M|peace|Arthur Henderson|13 September 1863|Glasgow|Scotland|Glasgow, Scotland
1935|M|chemistry|Frédéric Joliot|2000/03/19|Paris|France|Paris, France
1935|F|chemistry|Iréne Joliot-Curie|12 September 1897|Paris|France|Paris, France
1935|M|medicine|Hans Spemann|27 June 1869|Stuttgart|Württemberg|Stuttgart, Germany
1935|M|peace|Carl von Ossietzky|3 October 1889|Hamburg|Germany|Hamburg, Germany
1935|M|physics|James Chadwick|20 October 1891|Manchester|United Kingdom|Manchester, United Kingdom
1936|M|chemistry|Petrus (Peter) Josephus Wilhelmus Debye|24 March 1884|Maastricht|the Netherlands|Maastricht, the Netherlands
1936|M|literature|Eugene Gladstone O'Neill|16 October 1888|New York NY|USA|New York NY, USA
1936|M|medicine|Otto Loewi|3 June 1873|Frankfurt-on-the-Main|Germany|Frankfurt-on-the-Main, Germany
1936|M|medicine|Sir Henry Hallett Dale|9 June 1875|London|United Kingdom|London, United Kingdom
1936|M|peace|Carlos Saavedra Lamas|1 November 1878|Buenos Aires|Argentina|Buenos Aires, Argentina
1936|M|physics|Carl David Anderson|3-Sep-05|New York NY|USA|New York NY, USA
1936|M|physics|Victor Franz Hess|24 June 1883|Frauenfeld|Switzerland|Frauenfeld, Switzerland
1937|M|chemistry|Paul Karrer|21 April 1889|Moscow|Russia|Moscow, Russia
1937|M|chemistry|Walter Norman Haworth|19 March 1883|Chorley|United Kingdom|Chorley, United Kingdom
1937|M|literature|Roger Martin du Gard|23 March 1881|Neuilly-sur-Seine|France|Neuilly-sur-Seine, France
1937|M|medicine|Albert von Szent-Györgyi Nagyrápolt|16 September 1893|Budapest|Austria-Hungary|Budapest, Hungary
1937|M|peace|Cecil of Chelwood, Viscount (Lord Edgar Algernon Robert Gascoyne Cecil)|14 September 1864|London|United Kingdom|London, United Kingdom
1937|M|physics|Clinton Joseph Davisson|22 October 1881|Bloomington IL|USA|Bloomington IL, USA
1937|M|physics|George Paget Thomson|3 May 1892|Cambridge|United Kingdom|Cambridge, United Kingdom
1938|M|chemistry|Richard Kuhn|3-Dec-00|Vienna|Austria-Hungary|Vienna, Austria-Hungary
1938|F|literature|Pearl Buck|26 June 1892|Hillsboro WV|USA|Hillsboro WV, USA
1938|M|medicine|Corneille Jean François Heymans|28 March 1892|Ghent|Belgium|Ghent, Belgium
1938|NA|peace|Office international Nansen pour les Réfugiés (Nansen International Office for Refugees)|1921 in Geneva||Switzerland.| Switzerland
1938|M|physics|Enrico Fermi|29-Sep-01|Rome|Italy|Rome, Italy
1939|M|chemistry|Adolf Friedrich Johann Butenandt|2003/03/24|Bremerhaven-Lehe|Germany|Bremerhaven-Lehe, Germany
1939|M|chemistry|Leopold Ruzicka|13 September 1887|Vukovar|Austria-Hungary|Vukovar, Croatia
1939|M|literature|Frans Eemil Sillanpää|16 September 1888|Hämeenkyrö|Russian Empire|Hämeenkyrö, Finland
1939|M|medicine|Gerhard Domagk|30 October 1895|Lagow|Germany|Lagow, Germany
1939|M|physics|Ernest Orlando Lawrence|8-Aug-01|Canton SD|USA|Canton SD, USA
1943|M|chemistry|George de Hevesy|1 August 1885|Budapest|Austria-Hungary|Budapest, Hungary
1943|M|medicine|Edward Adelbert Doisy|13 November 1893|Hume IL|USA|Hume IL, USA
1943|M|medicine|Henrik Carl Peter Dam|21 February 1895|Copenhagen|Denmark|Copenhagen, Denmark
1943|M|physics|Otto Stern|17 February 1888|Sorau|Germany|Żory, Poland
1944|M|chemistry|Otto Hahn|8 March 1879|Frankfurt-on-the-Main|Germany|Frankfurt-on-the-Main, Germany
1944|M|literature|Johannes Vilhelm Jensen|20 January 1873|Farsř|Denmark|Farsř, Denmark
1944|M|medicine|Herbert Spencer Gasser|5 July 1888|Platteville WI|USA|Platteville WI, USA
1944|M|medicine|Joseph Erlanger|5 January 1874|San Francisco CA|USA|San Francisco CA, USA
1944|NA|peace|Comité international de la Croix Rouge (International Committee of the Red Cross)|1863 in Geneva||Switzerland|, Switzerland
1944|M|physics|Isidor Isaac Rabi|29 July 1898|Rymanow|Austria-Hungary|Rymanow, Poland
1945|M|chemistry|Artturi Ilmari Virtanen|15 January 1895|Helsinki|Russian Empire|Helsinki, Finland
1945|F|literature|Gabriela Mistral|7 April 1889|Vicuńa|Chile|Vicuńa, Chile
1945|M|medicine|Ernst Boris Chain|19-Jun-06|Berlin|Germany|Berlin, Germany
1945|M|medicine|Sir Alexander Fleming|6 August 1881|Lochfield|Scotland|Lochfield, Scotland
1945|M|medicine|Sir Howard Walter Florey|24 September 1898|Adelaide|Australia|Adelaide, Australia
1945|M|peace|Cordell Hull|2 October 1871|Olympus TN|USA|Olympus TN, USA
1945|M|physics|Wolfgang Pauli|25-Apr-00|Vienna|Austria|Vienna, Austria
1946|M|chemistry|James Batcheller Sumner|19 November 1887|Canton MA|USA|Canton MA, USA
1946|M|chemistry|John Howard Northrop|5 July 1891|Yonkers NY|USA|Yonkers NY, USA
1946|M|chemistry|Wendell Meredith Stanley|16-Aug-04|Ridgeville IN|USA|Ridgeville IN, USA
1946|M|literature|Hermann Hesse|2 July 1877|Calw|Germany|Calw, Germany
1946|M|medicine|Hermann Joseph Muller|1890|New York NY|USA|New York NY, USA
1946|F|peace|Emily Greene Balch|8 January 1867|Jamaica Plain MA|USA|Boston MA, USA
1946|M|peace|John Raleigh Mott|25 May 1865|Livingston Manor NY|USA|Livingston Manor NY, USA
1946|M|physics|Percy Williams Bridgman|21 April 1882|Cambridge MA|USA|Cambridge MA, USA
1947|M|chemistry|Sir Robert Robinson|13 September 1886|Rufford near Chesterfield|United Kingdom|Rufford near Chesterfield, United Kingdom
1947|M|literature|André Paul Guillaume Gide|22 November 1869|Paris|France|Paris, France
1947|M|medicine|Bernardo Alberto Houssay|10 April 1887|Buenos Aires|Argentina|Buenos Aires, Argentina
1947|M|medicine|Carl Ferdinand Cori|5 December 1896|Prague|Austria-Hungary|Prague, Czech Republic
1947|F|medicine|Gerty Theresa Cori, née Radnitz|15 August 1896|Prague|Austria-Hungary|Prague, Czech Republic
1947|NA|peace|American Friends Service Committee (The Quakers)|1917 in Washington|DC|USA|DC, USA
1947|NA|peace|Friends Service Council (The Quakers)|1647 in London||United Kingdom|, United Kingdom
1947|M|physics|Sir Edward Victor Appleton|6 September 1892|Bradford|United Kingdom|Bradford, United Kingdom
1948|M|chemistry|Arne Wilhelm Kaurin Tiselius|10-Aug-02|Stockholm|Sweden|Stockholm, Sweden
1948|M|literature|Thomas Stearns Eliot|26 September 1888|St. Louis MO|USA|St. Louis MO, USA
1948|M|medicine|Paul Hermann Müller|12 January 1899|Olten|Switzerland|Olten, Switzerland
1948|M|physics|Patrick Maynard Stuart Blackett|18 November 1897|London|United Kingdom|London, United Kingdom
1949|M|chemistry|William Francis Giauque|12 May 1895|Niagara Falls|Canada|Niagara Falls, Canada
1949|M|literature|William Faulkner|25 September 1897|New Albany MO|USA|New Albany MO, USA
1949|M|medicine|Antonio Caetano de Abreu Freire Egas Moniz|29 November 1874|Avança|Portugal|Avança, Portugal
1949|M|medicine|Walter Rudolf Hess|17 March 1881|Frauenfeld|Switzerland|Frauenfeld, Switzerland
1949|M|peace|Lord (John) Boyd Orr of Brechin|23 September 1880|Kilmaurs|Scotland|Kilmaurs, Scotland
1949|M|physics|Hideki Yukawa|23-Jan-07|Tokyo|Japan|Tokyo, Japan
1950|M|chemistry|Kurt Alder|10-Jul-02|Königshütte|Prussia|Chorzów, Poland
1950|M|chemistry|Otto Paul Hermann Diels|23 January 1876|Hamburg|Germany|Hamburg, Germany
1950|M|literature|Earl (Bertrand Arthur William) Russell|18 May 1872|Trelleck|United Kingdom|Trelleck, United Kingdom
1950|M|medicine|Edward Calvin Kendall|8 March 1886|South Norwalk CT|USA|South Norwalk CT, USA
1950|M|medicine|Philip Showalter Hench|28 February 1896|Pittsburgh PA|USA|Pittsburgh PA, USA
1950|M|medicine|Tadeus Reichstein|20 July 1897|Wloclawek|Poland|Wloclawek, Poland
1950|M|peace|Ralph Bunche|7-Aug-04|Detroit MI|USA|Detroit MI, USA
1950|M|physics|Cecil Frank Powell|5-Dec-03|Tonbridge|United Kingdom|Tonbridge, United Kingdom
1951|M|chemistry|Edwin Mattison McMillan|18-Sep-07|Redondo Beach CA|USA|Redondo Beach CA, USA
1951|M|chemistry|Glenn Theodore Seaborg|19-Apr-12|Ishpeming MI|USA|Ishpeming MI, USA
1951|M|literature|Pär Fabian Lagerkvist|23 May 1891|Växjö|Sweden|Växjö, Sweden
1951|M|medicine|Max Theiler|30 January 1899|Pretoria|South Africa|Pretoria, South Africa
1951|M|peace|Léon Jouhaux|1 July 1879|Paris|France|Paris, France
1951|M|physics|Ernest Thomas Sinton Walton|6-Oct-03|Dungarvan|Ireland|Dungarvan, Ireland
1951|M|physics|Sir John Douglas Cockcroft|27 May 1897|Todmorden|United Kingdom|Todmorden, United Kingdom
1952|M|chemistry|Archer John Porter Martin|2010/03/01|London|United Kingdom|London, United Kingdom
1952|M|chemistry|Richard Laurence Millington Synge|28-Oct-14|Liverpool|United Kingdom|Liverpool, United Kingdom
1952|M|literature|François Mauriac|11 October 1885|Bordeaux|France|Bordeaux, France
1952|M|medicine|Selman Abraham Waksman|22 July 1888|Priluka|Russian Empire|Pryluky, Ukraine
1952|M|peace|Albert Schweitzer|14 January 1875|Kaysersberg|Germany|Kaysersberg, France
1952|M|physics|Edward Mills Purcell|30-Aug-12|Taylorville IL|USA|Taylorville IL, USA
1952|M|physics|Felix Bloch|23-Oct-05|Zurich|Switzerland|Zurich, Switzerland
1953|M|chemistry|Hermann Staudinger|23 March 1881|Worms|Germany|Worms, Germany
1953|M|literature|Sir Winston Leonard Spencer Churchill|30 November 1874|Woodstock|United Kingdom|Woodstock, United Kingdom
1953|M|medicine|Fritz Albert Lipmann|12 June 1899|Koenigsberg|Germany|Kaliningrad, Russia
1953|M|medicine|Hans Adolf Krebs|25-Aug-00|Hildesheim|Germany|Hildesheim, Germany
1953|M|peace|George Catlett Marshall|31 December 1880|Uniontown PA|USA|Uniontown PA, USA
1953|M|physics|Frits (Frederik) Zernike|16 July 1888|Amsterdam|the Netherlands|Amsterdam, the Netherlands
1954|M|chemistry|Linus Carl Pauling|28-Feb-01|Portland OR|USA|Portland OR, USA
