Year|Sex|Category|Name|Birthdate|BirthPlace|County|BirthPlaceNow|Coords
1929|M|medicine|Christiaan Eijkman|11 August 1858|Nijkerk|the Netherlands|Nijkerk, the Netherlands|52.2224835,5.4835625
1929|M|medicine|Sir Frederick Gowland Hopkins|20 June 1861|Eastbourne|United Kingdom|Eastbourne, United Kingdom|52.2224835,5.4835625
1929|M|peace|Frank Billings Kellogg|22 December 1856|Potsdam NY|USA|Potsdam NY, USA|44.6697805,-74.9813084
1929|M|physics|Prince Louis-Victor Pierre Raymond de Broglie|15 August 1892|Dieppe|France|Dieppe, France|49.922992,1.077483
1930|M|chemistry|Hans Fischer|27 July 1881|Hoechst|Germany|Hoechst, Germany|50.102482,8.5474571
1930|M|literature|Sinclair Lewis|7 February 1885|Sauk Centre MN|USA|Sauk Centre MN, USA|45.737465,-94.9525216
1930|M|medicine|Karl Landsteiner|14 June 1868|Vienna|Austrian Empire|Vienna, Austria|45.737465,-94.9525216
1930|M|peace|Lars Olof Jonathan (Nathan) Söderblom|15 January 1866|Trönö|Sweden|Trönö, Sweden|61.3965122,16.8336652
1930|M|physics|Sir Chandrasekhara Venkata Raman|7 November 1888|Trichinopoly|India|Trichinopoly, India|10.7904833,78.7046725
1931|M|chemistry|Carl Bosch|27 August 1874|Cologne|Germany|Cologne, Germany|50.937531,6.9602786
1931|M|chemistry|Friedrich Bergius|11 October 1884|Goldschmieden near Breslau|Germany|Złotniki, Poland|52.4932064,16.8448409
1931|M|literature|Erik Axel Karlfeldt|20 July 1864|Karlbo|Sweden|Karlbo, Sweden|60.1309558,16.2159444
1931|M|medicine|Otto Heinrich Warburg|8 October 1883|Freiburg im Breisgau|Germany|Freiburg im Breisgau, Germany|47.9990077,7.8421043
1931|F|peace|Jane Addams|6 September 1860|Cedarville IL|USA|Cedarville IL, USA|42.3758493,-89.6331727
1931|M|peace|Nicholas Murray Butler|2 April 1862|Elizabeth NJ|USA|Elizabeth NJ, USA|40.6639916,-74.2107006
1932|M|chemistry|Irving Langmuir|31 January 1881|Brooklyn NY|USA|Brooklyn NY, USA|40.6781784,-73.9441579
1932|M|literature|John Galsworthy|14 August 1867|Kingston Hill|United Kingdom|Kingston Hill, United Kingdom|51.43361,-0.257451
1932|M|medicine|Edgar Douglas Adrian|30 November 1889|London|United Kingdom|London, United Kingdom|51.5073509,-0.1277583
1932|M|medicine|Sir Charles Scott Sherrington|27 November 1857|London|United Kingdom|London, United Kingdom|51.5073509,-0.1277583
1932|M|physics|Werner Karl Heisenberg|5-Dec-01|Würzburg|Germany|Würzburg, Germany|49.7913044,9.9533548
1933|M|literature|Ivan Alekseyevich Bunin|22 October 1870|Voronezh|Russia|Voronezh, Russia|51.6754966,39.2088823
1933|M|medicine|Thomas Hunt Morgan|25 September 1866|Lexington KY|USA|Lexington KY, USA|38.0405837,-84.5037164
1933|M|peace|Sir Norman Angell (Ralph Lane)|26 December 1873|Holbeach|United Kingdom|Holbeach, United Kingdom|52.803991,0.013434
1933|M|physics|Erwin Schrödinger|12 August 1887|Vienna|Austria|Vienna, Austria|52.803991,0.013434
1933|M|physics|Paul Adrien Maurice Dirac|8-Aug-02|Bristol|United Kingdom|Bristol, United Kingdom|52.803991,0.013434
1934|M|chemistry|Harold Clayton Urey|29 April 1893|Walkerton IN|USA|Walkerton IN, USA|41.4667113,-86.4830681
1934|M|literature|Luigi Pirandello|28 June 1867|Agrigento Sicily|Italy|Agrigento Sicily, Italy|37.3094075,13.5859823
1934|M|medicine|George Hoyt Whipple|28 August 1878|Ashland NH|USA|Ashland NH, USA|43.695318,-71.6306318
1934|M|medicine|George Richards Minot|2 December 1885|Boston MA|USA|Boston MA, USA|42.3600825,-71.0588801
1934|M|medicine|William Parry Murphy|6 February 1892|Stoughton WI|USA|Stoughton WI, USA|42.9169462,-89.2178937
1934|M|peace|Arthur Henderson|13 September 1863|Glasgow|Scotland|Glasgow, Scotland|42.9169462,-89.2178937
1935|M|chemistry|Frédéric Joliot|2000/03/19|Paris|France|Paris, France|42.9169462,-89.2178937
1935|F|chemistry|Iréne Joliot-Curie|12 September 1897|Paris|France|Paris, France|42.9169462,-89.2178937
1935|M|medicine|Hans Spemann|27 June 1869|Stuttgart|Württemberg|Stuttgart, Germany|48.7758459,9.1829321
1935|M|peace|Carl von Ossietzky|3 October 1889|Hamburg|Germany|Hamburg, Germany|48.7758459,9.1829321
1935|M|physics|James Chadwick|20 October 1891|Manchester|United Kingdom|Manchester, United Kingdom|48.7758459,9.1829321
1936|M|chemistry|Petrus (Peter) Josephus Wilhelmus Debye|24 March 1884|Maastricht|the Netherlands|Maastricht, the Netherlands|50.8513682,5.6909725
1936|M|literature|Eugene Gladstone O'Neill|16 October 1888|New York NY|USA|New York NY, USA|50.8513682,5.6909725
1936|M|medicine|Otto Loewi|3 June 1873|Frankfurt-on-the-Main|Germany|Frankfurt-on-the-Main, Germany|50.1109221,8.6821267
1936|M|medicine|Sir Henry Hallett Dale|9 June 1875|London|United Kingdom|London, United Kingdom|50.1109221,8.6821267
1936|M|peace|Carlos Saavedra Lamas|1 November 1878|Buenos Aires|Argentina|Buenos Aires, Argentina|-34.6036844,-58.3815591
1936|M|physics|Carl David Anderson|3-Sep-05|New York NY|USA|New York NY, USA|-34.6036844,-58.3815591
1936|M|physics|Victor Franz Hess|24 June 1883|Frauenfeld|Switzerland|Frauenfeld, Switzerland|47.5535997,8.8987541
1937|M|chemistry|Paul Karrer|21 April 1889|Moscow|Russia|Moscow, Russia|55.755826,37.6172999
1937|M|chemistry|Walter Norman Haworth|19 March 1883|Chorley|United Kingdom|Chorley, United Kingdom|53.653511,-2.632596
1937|M|literature|Roger Martin du Gard|23 March 1881|Neuilly-sur-Seine|France|Neuilly-sur-Seine, France|48.884831,2.26851
1937|M|medicine|Albert von Szent-Györgyi Nagyrápolt|16 September 1893|Budapest|Austria-Hungary|Budapest, Hungary|47.497912,19.040235
1937|M|peace|Cecil of Chelwood, Viscount (Lord Edgar Algernon Robert Gascoyne Cecil)|14 September 1864|London|United Kingdom|London, United Kingdom|47.497912,19.040235
1937|M|physics|Clinton Joseph Davisson|22 October 1881|Bloomington IL|USA|Bloomington IL, USA|40.4842027,-88.9936873
1937|M|physics|George Paget Thomson|3 May 1892|Cambridge|United Kingdom|Cambridge, United Kingdom|52.205337,0.121817
1938|M|chemistry|Richard Kuhn|3-Dec-00|Vienna|Austria-Hungary|Vienna, Austria-Hungary|48.210496,16.3631031
1938|F|literature|Pearl Buck|26 June 1892|Hillsboro WV|USA|Hillsboro WV, USA|38.1353972,-80.2131261
1938|M|medicine|Corneille Jean François Heymans|28 March 1892|Ghent|Belgium|Ghent, Belgium|38.1353972,-80.2131261
1938|NA|peace|Office international Nansen pour les Réfugiés (Nansen International Office for Refugees)|1921 in Geneva||Switzerland.| Switzerland|46.818188,8.227512
1938|M|physics|Enrico Fermi|29-Sep-01|Rome|Italy|Rome, Italy|41.9027835,12.4963655
1939|M|chemistry|Adolf Friedrich Johann Butenandt|2003/03/24|Bremerhaven-Lehe|Germany|Bremerhaven-Lehe, Germany|53.5745837,8.5985456
1939|M|chemistry|Leopold Ruzicka|13 September 1887|Vukovar|Austria-Hungary|Vukovar, Croatia|45.3452377,19.0010204
1939|M|literature|Frans Eemil Sillanpää|16 September 1888|Hämeenkyrö|Russian Empire|Hämeenkyrö, Finland|61.6383264,23.196349
1939|M|medicine|Gerhard Domagk|30 October 1895|Lagow|Germany|Lagow, Germany|51.1580895,15.043917
1939|M|physics|Ernest Orlando Lawrence|8-Aug-01|Canton SD|USA|Canton SD, USA|43.3008146,-96.5928198
1943|M|chemistry|George de Hevesy|1 August 1885|Budapest|Austria-Hungary|Budapest, Hungary|43.3008146,-96.5928198
1943|M|medicine|Edward Adelbert Doisy|13 November 1893|Hume IL|USA|Hume IL, USA|39.7967015,-87.8686414
1943|M|medicine|Henrik Carl Peter Dam|21 February 1895|Copenhagen|Denmark|Copenhagen, Denmark|39.7967015,-87.8686414
1943|M|physics|Otto Stern|17 February 1888|Sorau|Germany|Żory, Poland|50.0447236,18.7006401
1944|M|chemistry|Otto Hahn|8 March 1879|Frankfurt-on-the-Main|Germany|Frankfurt-on-the-Main, Germany|50.0447236,18.7006401
1944|M|literature|Johannes Vilhelm Jensen|20 January 1873|Farsř|Denmark|Farsř, Denmark|NOK[ZERO_RESULTS]
1944|M|medicine|Herbert Spencer Gasser|5 July 1888|Platteville WI|USA|Platteville WI, USA|42.73416,-90.4784621
1944|M|medicine|Joseph Erlanger|5 January 1874|San Francisco CA|USA|San Francisco CA, USA|37.7749295,-122.4194155
1944|NA|peace|Comité international de la Croix Rouge (International Committee of the Red Cross)|1863 in Geneva||Switzerland|, Switzerland|37.7749295,-122.4194155
1944|M|physics|Isidor Isaac Rabi|29 July 1898|Rymanow|Austria-Hungary|Rymanow, Poland|49.57642,21.86815
1945|M|chemistry|Artturi Ilmari Virtanen|15 January 1895|Helsinki|Russian Empire|Helsinki, Finland|60.1698557,24.9383791
1945|F|literature|Gabriela Mistral|7 April 1889|Vicuńa|Chile|Vicuńa, Chile|-30.0319,-70.7081
1945|M|medicine|Ernst Boris Chain|19-Jun-06|Berlin|Germany|Berlin, Germany|-30.0319,-70.7081
1945|M|medicine|Sir Alexander Fleming|6 August 1881|Lochfield|Scotland|Lochfield, Scotland|55.609843,-4.286513
1945|M|medicine|Sir Howard Walter Florey|24 September 1898|Adelaide|Australia|Adelaide, Australia|55.609843,-4.286513
1945|M|peace|Cordell Hull|2 October 1871|Olympus TN|USA|Olympus TN, USA|35.20559,-89.809929
1945|M|physics|Wolfgang Pauli|25-Apr-00|Vienna|Austria|Vienna, Austria|35.20559,-89.809929
1946|M|chemistry|James Batcheller Sumner|19 November 1887|Canton MA|USA|Canton MA, USA|42.1584324,-71.1447732
1946|M|chemistry|John Howard Northrop|5 July 1891|Yonkers NY|USA|Yonkers NY, USA|40.9312099,-73.8987469
