EventId;InvestigationType;AccidentNumber;EventDate;Location;Country;Latitude;Longitude;AirportCode;AirportName;InjurySeverity;AircraftDamage;AircraftCategory;RegistrationNumber;Make;Model;AmateurBuilt;NumberOfEngines;EngineType;FARDescription;Schedule;PurposeOfFlight;AirCarrier;TotalFatalInjuries;TotalSeriousInjuries;TotalMinorInjuries;TotalUninjured;WeatherCondition;BroadPhaseOfFlight;ReportStatus;PublicationDate
20180308X22156;Incident;ENG18RA020;03/01/2018;Bishkek, Kyrgyzstan;Kyrgyzstan;;;FRU;Bishkek-Manas International;Incident;Minor;Airplane;;AVRO;RJ85;No;;Turbo Fan;Non-U.S., Commercial;SCHD;;;;;;;;CLIMB;Foreign;
20180405X02412;Incident;CEN18WA133;02/28/2018;Abbeville, France;France;50.081111;1.775278;;;Incident;Minor;Airplane;N609PC;CESSNA;182P;No;1;Reciprocating;Non-U.S., Non-Commercial;;;;;;;2;;CRUISE;Foreign;
20180301X63457;Incident;CEN18WA111;02/26/2018;Nuuk, Greenland;Greenland;64.190833;-51.678056;BGGH;Nuuk Airport;Incident;Minor;Airplane;N3AD;CIRRUS DESIGN CORP;SF50;No;1;Turbo Fan;Non-U.S., Non-Commercial;;Ferry;;;;;2;VMC;LANDING;Foreign;
20180213X95634;Incident;DCA18IA092;02/13/2018;Honolulu, HI;United States;;;;;Incident;Minor;Airplane;N773UA;BOEING;777 222;;2;;Part 121: Air Carrier;SCHD;;;;;;378;;DESCENT;Preliminary;03/05/2018
20180215X95605;Incident;ENG18WA013;02/08/2018;Paris, France;France;;;LFPO;Paris Orly;Incident;;Airplane;;THE BOEING COMPANY;737-800;;2;;Unknown;;;;;;;;;TAKEOFF;Foreign;
20180222X04028;Incident;ENG18RA015;02/05/2018;Auckland, New Zealand;New Zealand;;;;;Incident;;Airplane;;BOEING;757;No;;;Unknown;;;;;;;;;CLIMB;Foreign;
20180206X80222;Incident;DCA18WA088;01/30/2018;Tel Aviv, Israel;Israel;;;;;Incident;;Airplane;N919FD;BOEING;757 23A;No;2;Turbo Fan;Part 121: Air Carrier;NSCH;;;;;;;;APPROACH;Foreign;
20180207X92707;Incident;ENG18RA012;01/29/2018;Mar Del Plata, Argentina;Argentina;-37.933056;-57.581945;SAZM;Astor Piazzola International;Incident;Minor;Airplane;;EMBRAER;ERJ190;No;;;Part 129: Foreign;SCHD;;;;;;101;;TAXI;Foreign;
20180221X00208;Incident;CEN18WA105;01/29/2018;Shetland, United Kingdom;United Kingdom;;;;;Incident;;Helicopter;;SIKORSKY;S-92A;No;;;Non-U.S., Commercial;;;;;;;21;;LANDING;Foreign;
20180128X74934;Incident;ERA18IA078;01/28/2018;Memphis, TN;United States;35.136944;-90.025000;PVT;Helipad;Incident;Minor;Helicopter;N894GT;AIRBUS HELICOPTERS;EC 130;No;1;Turbo Shaft;Part 135: Air Taxi & Commuter;NSCH;;AIR EVAC EMS INC (DBA: Air Evac Lifeteam);;;;4;VMC;;Preliminary;03/06/2018
20180205X00724;Incident;ENG18WA010;01/25/2018;Lima, Peru;Peru;-12.736944;-75.958056;;;Incident;;Airplane;;BOEING;737;No;2;Turbo Fan;Non-U.S., Commercial;SCHD;;;;;;99;;;Foreign;
20180205X20338;Incident;ENG18WA011;01/18/2018;Alice Springs, Australia;Australia;-17.370000;123.660556;asp;Alice Springs;Incident;;Airplane;;AIRBUS;A330;No;2;Turbo Fan;Non-U.S., Commercial;SCHD;;;;;;255;;;Foreign;
20180112X94839;Incident;DCA18WA076;01/10/2018;London, United Kingdom;United Kingdom;;;;;Incident;Minor;Airplane;;BOEING;737;No;;;Non-U.S., Non-Commercial;;;;;;;;;TAXI;Foreign;
20180116X12236;Incident;DCA18IA081;12/29/2017;Pullman, WA;United States;46.742777;-117.116945;PUW;PULLMAN/MOSCOW RGNL;Incident;;Airplane;N412QX;BOMBARDIER INC;DHC 8 402;No;2;Turbo Prop;Part 121: Air Carrier;SCHD;;HORIZON AIR INDUSTRIES INC;;;;46;IMC;LANDING;Preliminary;08/24/2018
20180102X34923;Incident;OPS18IA003;12/24/2017;Medford, OR;United States;42.047222;-122.743611;;;Incident;;Airplane;;BOMBARDIER INC;CL600 2D24;No;2;;;SCHD;;;;;;;IMC;APPROACH;Preliminary;02/06/2018
20180125X42911;Incident;ERA18WA069;12/23/2017;Montecristi, Dominican Republic;Dominican Republic;19.736944;-71.580556;;N/A;Incident;Minor;Airplane;;CESSNA;A188;No;1;Reciprocating;Non-U.S., Commercial;;;;;;;1;VMC;MANEUVERING;Foreign;
20180112X20350;Incident;DCA18WA077;12/09/2017;Almaty, Kazakhstan;Kazakhstan;;;;;Incident;Minor;Airplane;;BOEING;767;No;;;Part 129: Foreign;SCHD;;;;;;;;TAXI;Foreign;
20171215X01529;Incident;DCA18WA048;11/29/2017;Singapore, Singapore;Singapore;;;;;Incident;Minor;Airplane;;BOEING;777;No;;;Part 129: Foreign;;;;;;;;;;Foreign;
20171201X54033;Incident;DCA18WA028;11/23/2017;Latvia, Latvia;Latvia;;;;;Incident;;Airplane;;BOEING;737;No;;;Part 129: Foreign;;;;;;;;;TAKEOFF;Foreign;
20171124X65456;Incident;WPR18WA086;11/22/2017;Germiston, South Africa;South Africa;;;FAGM;Rand Airport;Incident;Minor;Airplane;;HAWKER BEECHCRAFT CORPORATION;390;No;2;;Non-U.S., Commercial;;;;;;;2;;LANDING;Foreign;
20171215X90337;Incident;DCA18WA047;11/20/2017;Jauja, Peru;Peru;;;;;Incident;;Airplane;;BOEING;737;No;;;Part 129: Foreign;;;;;;;;;CRUISE;Foreign;
20171129X73558;Incident;DCA18WA025;11/16/2017;Singapore, Singapore;Singapore;;;;;Incident;Minor;Airplane;;BOEING;737;No;;;Non-U.S., Commercial;;;;;;;;;TAKEOFF;Foreign;
20171114X03707;Incident;DCA18WA020;11/13/2017;Oceanic, United Kingdom;United Kingdom;;;;;Incident;;Airplane;;BOEING;777;No;;;Non-U.S., Commercial;;;;;;;;;CRUISE;Foreign;
20171208X45246;Incident;DCA18WA030;11/11/2017;Maastricht, Netherlands;Netherlands;;;;;Incident;;Airplane;;BOEING;747;No;;;Part 129: Foreign;;;;;;;;;TAKEOFF;Foreign;
20171121X93124;Incident;ENG18WA005;11/01/2017;Karachi, Pakistan;Pakistan;;;;;Incident;;Airplane;;BOEING;767;No;2;Turbo Fan;;;;;;;;;;;Foreign;
20171108X02305;Incident;CEN18WA028;10/31/2017;Namur, Belgium;Belgium;50.489166;4.764167;;;Incident;;Airplane;;CESSNA;152;No;;Reciprocating;;;;;;;;2;;APPROACH;Foreign;
20171031X94138;Incident;DCA18WA016;10/13/2017;Moscow, Russia;Russia;;;;;Incident;;Airplane;;BOEING;737;;;;Part 129: Foreign;;;;;;;;;APPROACH;Foreign;
20170922X54600;Incident;DCA17IA202B;09/21/2017;Hoffman Island, NY;United States;40.500000;-74.000000;;N/A;Incident;Minor;Helicopter;R20087;SIKORSKY;UH60;No;;;Armed Forces;;;;;;;5;VMC;CRUISE;Probable Cause;12/14/2017
20170922X54600;Incident;DCA17IA202A;09/21/2017;Hoffman Island, NY;United States;40.500000;-74.000000;;N/A;Incident;Destroyed;Helicopter;None;DJI;Phantom;No;4;Electric;Part 107: Small UAS;;;;;;;5;VMC;CRUISE;Probable Cause;12/14/2017
20171025X23538;Incident;DCA17WA222;09/19/2017;Bangkok, Thailand;Thailand;;;;;Incident;;Airplane;;BOEING;737;;;;;;;;;;;;;TAKEOFF;Foreign;
20170920X72340;Incident;DCA17WA200;09/15/2017;London, United Kingdom;United Kingdom;;;;;Incident;Minor;Airplane;;THE BOEING COMPANY;BOEING 737-8AS;;2;Turbo Fan;;;;;;;;;;TAKEOFF;Foreign;
20170920X72001;Incident;DCA17WA199;09/13/2017;Caracas, Venezuela;Venezuela;;;;;Incident;;Airplane;;BOEING;737;No;;;;;;;;;;;;TAKEOFF;Foreign;
20180123X94129;Incident;CEN17WA381;09/10/2017;Le Bourget, France;France;48.971389;2.446666;;;Incident;Minor;Airplane;;GULFSTREAM;GV;No;;;Non-U.S., Non-Commercial;;;;;;;6;;LANDING;Foreign;
20170907X71900;Incident;ENG17IA036;09/06/2017;Las Vegas, NV;United States;;;;;Incident;;Airplane;N686DA;BOEING;757 232;;2;Turbo Fan;Part 121: Air Carrier;SCHD;;Delta Air Lines;;;;184;;TAKEOFF;Preliminary;10/03/2017
20171129X73058;Incident;DCA17WA223;09/06/2017;Cancun, Mexico;Mexico;;;;;Incident;;Airplane;;BOEING;737;No;;;Non-U.S., Commercial;;;;;;;;;CRUISE;Foreign;
20170908X75337;Incident;ENG17RA037;09/05/2017;Tokyo, Japan;Japan;;;;;Incident;;Airplane;;BOEING;777;;;;;;;;;;;;;TAKEOFF;Foreign;
20170913X74014;Incident;DCA17WA196;09/03/2017;Leon, Mexico;Mexico;;;;;Incident;;Airplane;;BOEING;737;No;;;;;;;;;;;;UNKNOWN;Foreign;
20170828X92641;Incident;WPR17IA189;08/28/2017;San Jose, CA;United States;37.361944;-121.926667;SJC;NORMAN Y MINETA SAN JOSE INTL;Incident;Minor;Airplane;N503UP;CESSNA;560XL;No;2;Turbo Jet;Part 135: Air Taxi & Commuter;NSCH;;Wheels Up;;;;5;VMC;LANDING;Preliminary;09/13/2017
20180202X80745;Incident;ERA17WA351;08/27/2017;Recanati, Italy;Italy;;;;Maddona di Loreto;Incident;Minor;Airplane;;CESSNA;207;No;;;Non-U.S., Non-Commercial;;;;;;;1;;APPROACH;Foreign;
20170827X80853;Incident;DCA17WA185;08/23/2017;Georgetown, Guyana;Guyana;;;;;Incident;;Airplane;;BOEING;737;No;;;Part 129: Foreign;;;;;;;;;TAKEOFF;Foreign;
20170822X63531;Incident;WPR17IA198;08/22/2017;Glendale, AZ;United States;33.526945;-112.295277;GEU;Glendale Munical Airport;Incident;;Helicopter;N52PD;ENSTROM;F 28F;No;1;Reciprocating;Part 91: General Aviation;;Instructional;;;;;2;VMC;;Factual;08/23/2018
20171127X32349;Incident;CEN17WA379;08/21/2017;Balchik, Bulgaria;Bulgaria;;;LBWB;Balchik Airfrield;Incident;Minor;Airplane;;CESSNA;172RG;No;;;Unknown;;;;;;;2;;LANDING;Foreign;
20170803X61422;Incident;DCA17WA164;08/01/2017;Frankfurt, Germany;Germany;;;;;Incident;;Airplane;;BOEING;747;No;;;;;;;;;;;;CLIMB;Foreign;
20170731X32913;Incident;WPR17IA173;07/31/2017;Chandler, AZ;United States;33.154167;-111.926945;;N/A;Incident;Minor;Airplane;N8725;COLUMBIA AIRCRAFT MFG;LC41 550FG;No;1;Reciprocating;Part 91: General Aviation;;Business;;;;;4;VMC;CRUISE;Preliminary;08/08/2017
20170731X72752;Incident;DCA17WA163;07/28/2017;Frankfurt-Main, Germany;Germany;;;;;Incident;;Airplane;;BOEING COMPANY;BOEING 737-330;;2;Turbo Fan;;;;;;;;;;;Foreign;
20170731X51742;Incident;CEN17WA291;07/27/2017;British Virgin Islands, British Virgin Islands;British Virgin Islands;18.444444;-64.541666;TUPJ;Terrance B. Lettsome;Incident;;Airplane;N618CA;CESSNA;402;No;2;Reciprocating;Part 135: Air Taxi & Commuter;NSCH;;;;;;;;TAKEOFF;Foreign;
20170725X85153;Incident;DCA17WA156;07/25/2017;Bucharest, Romania;Romania;;;;;Incident;;Airplane;;BOEING;737;No;;;;;;;;;;;;LANDING;Foreign;
20170725X42936;Incident;DCA17WA158;07/23/2017;London, United Kingdom;United Kingdom;;;;;Incident;;Airplane;;BOEING COMPANY;BOEING 777-236;;2;;;;;;;;;;;;Foreign;
20170727X50956;Incident;DCA17WA161;07/22/2017;Newcastle, United Kingdom;United Kingdom;;;;;Incident;Minor;Airplane;;BOEING;767;;;;;;;;;;;;;;Foreign;
20170725X90447;Incident;DCA17WA157;07/21/2017;Belfast, United Kingdom;United Kingdom;;;;;Incident;;Airplane;;Boeing;737-86J;;2;;;;;;;;;;;TAKEOFF;Foreign;
20170726X92426;Incident;DCA17WA159;07/18/2017;Frankfurt, Germany;Germany;;;;;Incident;;Airplane;N121UA;BOEING;747 422;;4;;;;;;;;;;;CRUISE;Foreign;
20170709X81141;Incident;DCA17IA148;07/07/2017;San Francisco, CA;United States;37.615278;-122.358056;SFO;San Francisco International;Incident;;Airplane;C-FKCK;Airbus;A320-211;No;2;;Part 129: Foreign;SCHD;;Air Canada;;;;;;GO-AROUND;Preliminary;07/24/2017
20170711X20613;Incident;CEN17WA262;06/30/2017;Mérida, Yucatán, Mexico;Mexico;;;;;Incident;Minor;Airplane;;EMBRAER;ERJ190;No;;;;;;;;;;;;TAKEOFF;Foreign;
20170622X33810;Incident;WPR17WA130;06/14/2017;Megiddo, Israel;Israel;;;;;Incident;;Airplane;;TURBO THRUSH;S2R;No;;Turbo Prop;;;;;;;;1;;;Foreign;
20170612X10422;Incident;ENG17IA028;06/10/2017;Chicago, IL;United States;;;;;Incident;Minor;Airplane;N715SK;BOMBARDIER INC;CL 600 2C10;;2;Turbo Fan;Part 121: Air Carrier;SCHD;;SKYWEST AIRLINES INC;;;;64;;TAKEOFF;Preliminary;06/19/2017
20170607X22245;Incident;ENG17IA026;06/07/2017;Tokyo, Japan;Japan;;;;;Incident;Minor;Airplane;N668US;BOEING;747 451;;4;Turbo Fan;Part 121: Air Carrier;SCHD;;Delta Air Lines;;;;324;;;Preliminary;06/15/2017
20170608X90705;Incident;ENG17IA027;06/03/2017;Washington, DC;United States;38.948611;-77.450278;IAD;WASHINGTON DULLES INTL;Incident;Minor;Airplane;N765SW;BOEING;737 7H4;No;2;Turbo Fan;Part 121: Air Carrier;SCHD;;SOUTHWEST AIRLINES CO;;;;67;UNK;CRUISE;Probable Cause;06/26/2018
20170616X23403;Incident;CEN17IA233;06/01/2017;Fulton, NY;United States;43.350833;-76.388055;FZY;OSWEGO COUNTY;Incident;;Airplane;N366TF;SCHRODER DAVID;LANCAIR IV P;Yes;1;Reciprocating;Part 91: General Aviation;;Personal;;;;;2;VMC;MANEUVERING;Factual;06/13/2018
20170721X33028;Incident;CEN17WA278;05/31/2017;Gloucestershire, United Kingdom;United Kingdom;;;EGBJ;;Incident;Minor;Airplane;;AMATEUR CONSTRUCTION;TITAN T-51 MUSTANG;Yes;;;;;;;;;;1;;LANDING;Foreign;
20170622X21612;Incident;CEN17WA240;05/30/2017;Charleroi, Belgium;Belgium;50.460000;4.452778;EBCI;Brussels South Charleroi;Incident;Minor;Airplane;;REIMS AVIATION S.A.;F150 M;No;1;Reciprocating;Non-U.S., Non-Commercial;;Instructional;;;;;2;VMC;APPROACH;Foreign;
20170616X21724;Incident;ERA17WA206;05/18/2017;Poesoegroenoe, Suriname;Suriname;;;;N/A;Incident;Minor;Airplane;;CESSNA;182;No;1;Reciprocating;Non-U.S., Non-Commercial;;Personal;;;;;3;UNK;CRUISE;Foreign;
20170512X01905;Incident;OPS17IA021B;05/09/2017;New Orleans, LA;United States;;;NEW;LAKEFRONT;Incident;;Airplane;;PIPER;PA 32R-301;No;;Reciprocating;;;Personal;;;;;;VMC;LANDING;Preliminary;05/30/2017
20170512X01905;Incident;OPS17IA021A;05/09/2017;New Orleans, LA;United States;;;NEW;LAKEFRONT;Incident;;Airplane;;CESSNA;172S;No;1;Reciprocating;;;Personal;;;;;;VMC;GO-AROUND;Preliminary;05/30/2017
20170703X23300;Incident;CEN17WA253;05/05/2017;Geneva, Switzerland;Switzerland;;;;;Incident;;Airplane;N6296R;CESSNA;T182T;;;;;;;;;;;;;CRUISE;Foreign;
20170503X55306;Incident;ENG17WA021;04/29/2017;London, United Kingdom;United Kingdom;;;;;Incident;;Airplane;;BOEING COMPANY;BOEING 787-9;;2;Turbo Fan;;;;;;;;;;CRUISE;Foreign;
20170419X10645;Incident;ENG17WA020;04/15/2017;Monteria, Colombia;Colombia;8.823611;-75.825834;SKMR;Monteria;Incident;;Airplane;;BAE;JETSTREAM3100;No;2;Turbo Prop;Non-U.S., Commercial;SCHD;;;;;;18;;CLIMB;Foreign;
20170410X71808;Incident;WPR17IA086;04/10/2017;Livermore, CA;United States;37.693333;-121.820278;LVK;LIVERMORE MUNI;Incident;Minor;Airplane;N755R;BEECH;A36TC;No;1;Reciprocating;Part 91: General Aviation;;Personal;;;;;1;VMC;APPROACH;Preliminary;04/24/2017
20170414X95022;Incident;DCA17WA095;04/07/2017;Kong Kong, China;China;21.487222;114.512222;;;Incident;;Airplane;;BOEING;747;No;;;Part 129: Foreign;;;;;;;;;MANEUVERING;Foreign;
20170530X54633;Incident;DCA17WA127;03/30/2017;Glasgow, United Kingdom;United Kingdom;;;;;Incident;;Airplane;;BOEING;747;No;;;;;;;;;;;;STANDING;Foreign;
20170324X45514;Incident;ENG17WA019;03/23/2017;Dubbo, Australia;Australia;-32.216667;148.574723;;;Incident;;Airplane;;SAAB;340;No;;;;;;;;;;26;;;Foreign;
20171024X25956;Incident;ENG17RA040;03/21/2017;Guarulhos, Brazil;Brazil;-23.435555;-46.473056;GRU;Guarulhos International Airprt;Incident;Minor;Airplane;;ATR;ATR72;No;2;Turbo Prop;;SCHD;;;;;;;;APPROACH;Foreign;
20170323X20929;Incident;ENG17WA018;03/20/2017;Coari Municipality, Brazil, Brazil;Brazil;;;;;Incident;Minor;Airplane;;ATR;ATR42;No;;Turbo Prop;;;;;;;;;;LANDING;Foreign;
20170417X01326;Incident;CEN17IA155;03/20/2017;Greeley, CO;United States;40.426667;-104.636944;GXY;GREELEY-WELD COUNTY;Incident;Minor;Airplane;N6402V;CESSNA;172RG;No;1;Reciprocating;Part 91: General Aviation;;Personal;;;;;1;VMC;LANDING;Probable Cause;09/06/2017
20170320X74630;Incident;ENG17IA017;03/19/2017;Dayton, OH;United States;39.902500;-84.221945;DAY;JAMES M COX DAYTON INTL;Incident;;Airplane;N881GA;DOUGLAS;DC 9 83;No;2;Turbo Fan;Part 121: Air Carrier;SCHD;;Allegiant Air;;;;163;UNK;APPROACH;Probable Cause;04/10/2018
20170608X45500;Incident;DCA17WA137;03/19/2017;Amsterdam, Netherlands;Netherlands;;;;;Incident;;Airplane;;BOEING;767;No;;;;;;;;;;;;CRUISE;Foreign;
20170317X94822;Incident;ENG17WA016;03/17/2017;Sydney, Australia;Australia;-33.783056;151.220556;;;Incident;;Airplane;;SAAB;340;No;2;Turbo Prop;;;;;;;;19;;APPROACH;Foreign;
20170519X01048;Incident;DCA17WA121;03/07/2017;Sint Maarten, Netherlands Antilles;Netherlands Antilles;;;;;Incident;;Airplane;;BOEING;737;No;;;Part 129: Foreign;;;;;;;;;APPROACH;Foreign;
20170223X45721;Incident;ENG17WA015;02/23/2017;Sao Paulo, Brazil;Brazil;;;;;Incident;;Airplane;;AIRBUS;A320;No;;;;;;;;;;137;;TAKEOFF;Foreign;
20171024X12703;Incident;DCA17WA221;02/17/2017;Riga, Latvia;Latvia;;;;;Incident;;Airplane;;BOEING;737;No;;;Part 129: Foreign;;;;;;;;;TAKEOFF;Foreign;
20170223X20017;Incident;OPS17IA014B;02/15/2017;San Francisco, CA;United States;37.611667;-122.358889;;;Incident;;Airplane;;AIRBUS;A320 214;No;2;Turbo Fan;;SCHD;;;;;;;;;Preliminary;11/17/2017
20170223X20017;Incident;OPS17IA014A;02/15/2017;San Francisco, CA;United States;37.611667;-122.358889;;;Incident;;Airplane;;EMBRAER S A;ERJ170-200LR;No;;;;SCHD;;;;;;;;APPROACH;Preliminary;11/17/2017
20170719X44355;Incident;DCA17WA152;02/13/2017;Baraloche, Argentina;Argentina;;;SAZS;San Carlos de Bariloche Airpor;Incident;;Airplane;;BOEING;737;No;;;Part 129: Foreign;SCHD;;;;;;;;LANDING;Foreign;
20170222X74447;Incident;DCA17WA070;02/11/2017;Jeddah, Saudi Arabia;Saudi Arabia;;;;;Incident;Minor;Airplane;;BOEING;777;No;;;Non-U.S., Commercial;SCHD;;;;;;365;;LANDING;Foreign;
20170216X92441;Incident;ENG17WA013;02/10/2017;London, United Kingdom;United Kingdom;;;;;Incident;;Airplane;;BRITISH AEROSPACE;AVRO 146-RJ100;;;;;;;;;;;;;CRUISE;Foreign;
20171128X15414;Incident;ANC17RA055;02/10/2017;Giseong-ri, Korea, Republic Of;Korea, Republic Of;;;;;Incident;Minor;Airplane;;CESSNA;172;No;;;;;;;;;;2;;TAKEOFF;Foreign;
20170215X94452;Incident;ENG17WA012;02/08/2017;Dehli, India;India;28.556111;77.100000;DEL;New Delhi;Incident;;Airplane;;AIRBUS;A320;No;2;Turbo Fan;;SCHD;;;;;;193;;TAKEOFF;Foreign;
20171221X45432;Incident;CEN17WA380;02/07/2017;Locarno, Switzerland;Switzerland;;;;;Incident;;Helicopter;;SCHWEIZER;269C;No;;;Non-U.S., Non-Commercial;;;;;;;2;;MANEUVERING;Foreign;
20170222X73532;Incident;DCA17WA067;02/03/2017;Edinburgh, United Kingdom;United Kingdom;;;;;Incident;Minor;Airplane;;BOEING;737;No;;;;;;;;;;2;;TAXI;Foreign;
20170222X74031;Incident;DCA17WA069;02/01/2017;Yogykarta, Indonesia;Indonesia;;;;;Incident;;Airplane;;BOEING;737;No;;;;;;;;;;126;;LANDING;Foreign;
20170131X24430;Incident;CEN17IA094;01/26/2017;Sioux Falls, SD;United States;43.578334;-96.748055;FSD;JOE FOSS FIELD;Incident;Minor;Helicopter;N911MK;EUROCOPTER DEUTSCHLAND GMBH;MBB BK 117 C-2;No;2;Turbo Shaft;Part 135: Air Taxi & Commuter;NSCH;;MRIS LLC (DBA: Avera McKennan Careflight);;;;3;VMC;CRUISE;Preliminary;02/06/2017
20170124X45041;Incident;ENG17IA008;01/23/2017;Baltimore, MD;United States;;;;N/A;Incident;;Airplane;N8986B;BOMBARDIER INC;CL 600 2B19;;2;Turbo Fan;Part 121: Air Carrier;SCHD;;Endeavor Air;;;;51;;CLIMB;Preliminary;05/31/2018
20170222X73751;Incident;DCA17WA068;01/22/2017;Dhaka, India;India;;;;Dhaka;Incident;Minor;Airplane;;BOEING;737;No;;;;;;;;;;2;;LANDING;Foreign;
20170222X73047;Incident;DCA17WA066;01/20/2017;Darlot, Australia;Australia;;;;;Incident;Minor;Airplane;;AVRO;146;No;;;;;;;;;;2;;LANDING;Foreign;
20170330X01440;Incident;DCA17WA086;12/29/2016;Bucharest, Romania;Romania;;;;;Incident;;Airplane;;BOEING;737;No;;;Part 129: Foreign;;;;;;;;;CLIMB;Foreign;
20170105X52817;Incident;CEN17WA069;12/28/2016;North Sea, UK, United Kingdom;United Kingdom;56.992777;2.136111;;;Incident;;Helicopter;;SIKORSKY;S92;No;;Turbo Shaft;;;;;;;;11;;LANDING;Foreign;
20161221X11609;Incident;ENG17WA007;12/21/2016;Toronto, Canada;Canada;;;;;Incident;;Airplane;;BOEING;767;No;;;;;;;;;;224;;TAKEOFF;Foreign;
20170104X45517;Incident;OPS17IA010;12/16/2016;Mt. Wilson, CA;United States;34.219167;-118.061944;;;Incident;;Airplane;;BOEING;777;;;;;SCHD;;;;;;;;CLIMB;Preliminary;05/18/2017
20161219X82155;Incident;OPS17IA008B;12/14/2016;San Francisco, CA;United States;37.618889;-122.377223;SFO;SAN FRANCISCO INTL;Incident;;Airplane;;BOEING;737;No;;;;SCHD;;;;;;9;;TAKEOFF;Preliminary;11/17/2017
